Date,Close,chg(close),Low,chg(low),High,chg(high)
11/08/2021 23:58,75.91,0.53,75.43,1.98,76.06,0.51
11/09/2021 23:58,76.45,0.54,75.75,0.32,76.51,0.45
11/10/2021 23:58,74.92,-1.53,74.67,-1.08,76.73,0.22
11/11/2021 23:58,75.36,0.44,74.47,-0.2,75.49,-1.24
11/12/2021 23:58,74.81,-0.55,74.1,-0.37,75.2,-0.29
11/15/2021 23:58:00,74.81,0,74.03,-0.07,74.9,-0.3
11/16/2021 23:58:00,75.04,0.23,74.6,0.57,75.54,0.64
11/17/2021 23:58:00,73.62,-1.42,73.33,-1.27,74.85,-0.69
11/18/2021 23:58:00,74.57,0.95,73.08,-0.25,74.57,-0.28
11/19/2021 23:58:00,72.75,-1.82,72.49,-0.59,74.97,0.4
11/22/2021 23:58:00,73.79,1.04,72,-0.49,73.83,-1.14
11/23/2021 23:58:00,75.81,2.02,72.99,0.99,76.01,2.18
11/24/2021 23:58:00,75.55,-0.26,75.24,2.25,75.91,-0.1
11/26/2021 13:00:00,67.74,-7.81,67.82,-7.42,75.83,-0.08
11/29/2021 23:58:00,69.48,1.74,68.65,0.83,71.35,-4.48
11/30/2021 23:58:00,65.98,-3.5,64.72,-3.93,70.51,-0.84
12/01/2021 23:58,65.99,0.01,65.77,1.05,68.65,-1.86
12/02/2021 23:58,66.78,0.79,64.14,-1.63,67.28,-1.37
12/03/2021 23:58,67.2,0.42,66.66,2.52,68.77,1.49
12/06/2021 23:58,69.78,2.58,68,1.34,70.2,1.43
12/07/2021 23:58,71.93,2.15,69.9,1.9,72.25,2.05
12/08/2021 23:58,72.62,0.69,71.36,1.46,72.73,0.48
12/09/2021 23:58,71.48,-1.14,70.99,-0.37,73.08,0.35
12/10/2021 23:58,71.84,0.36,71.22,0.23,72.4,-0.68
12/13/2021 23:58:00,71.46,-0.38,71.36,0.14,72.6,0.2
12/14/2021 23:58:00,70.94,-0.52,70.24,-1.12,71.76,-0.84
12/15/2021 23:58:00,70.74,-0.2,69.74,-0.5,71.36,-0.4
12/16/2021 23:58:00,71.4,0.66,70.75,1.01,71.9,0.54
